Order Number,Pinyin,Correct_Character,Frequency,Definition,Usage,Part_of_Speech,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Correct_Choice
941,la,啦,7,"Modal particle that combines 了 (le) and 啊 (a), used at the end of sentences to indicate a change of state or completion with an exclamatory or casual tone.","Common in spoken Chinese to soften statements or express enthusiasm, as in 好啦 (alright then) or 我走啦 (I'm leaving now)",particle,霸,请,廊,啦,仿,D
942,hou2,喉,7,"Throat; the passage in the neck through which food and air pass. Refers to the anatomical structure used for breathing, swallowing, and speaking.",Commonly appears in medical contexts and compound words like 喉咙 (throat) and 咽喉 (pharynx and larynx),noun,胳,宿,喉,立,餐,C
943,pen1,喷,7,"To spray, spurt, or gush out; to eject liquid or gas forcefully from an opening.","Common in words like 喷泉 (fountain), 喷水 (spray water), or describing actions like sneezing or spraying perfume",verb,标,徒,单,喷,抱,D
944,tuan2,团,7,"A round mass or ball; also means group, organization, or团体 (团 is commonly used to refer to organized groups or团队).","Found in words like 团队 (team), 集团 (group/corporation), 饭团 (rice ball)",noun/measure word,团,激,试,绿,晃,A
945,yuan2,圆,7,Round or circular in shape; also means complete or satisfactory. Can refer to a circle or sphere as a noun.,"Common in words like 圆形 (circular shape), 团圆 (family reunion), and 圆满 (perfect/complete)",adjective/noun,炉,六,支,石,圆,E
946,miao4,妙,7,"Wonderful, excellent, or marvelous; describes something clever, ingenious, or remarkably good.",Common in expressions like 美妙 (beautiful/wonderful) and 奇妙 (amazing/magical),adjective,确,妙,节,迟,壁,B
947,wei3,委,7,"To entrust, appoint, or delegate responsibility to someone; also means to shift blame or shirk responsibility.","Commonly seen in words like 委托 (entrust), 委员 (committee member), and 委屈 (feel wronged)",verb,委,躲,牙,疼,炸,A
948,ceng2,层,7,"Layer, level, or floor of a building. Used as a measure word for things that are stacked or arranged in layers.","Common in expressions like 一层 (first floor), 三层楼 (three-story building), or 一层意思 (one layer of meaning)",noun/measure word,扑,证,层,厌,丛,C
949,xiang4,巷,7,"A narrow lane, alley, or small street, typically found in residential areas or between buildings.",Common in words like 小巷 (small alley) and 巷子 (lane),noun,厚,搞,便,博,巷,E
950,du4,度,7,"Degree or extent; a measure of temperature, angles, or intensity. Also means 'to spend/pass' time or to measure.","Common in words like 温度 (temperature), 态度 (attitude), 速度 (speed), and 度过 (to spend time)",noun/verb,度,嗓,晃,莫,薇,A
951,ting2,廷,7,Royal court or imperial court; refers to the place where a monarch conducts official business and holds audiences.,"Mainly appears in formal or classical contexts, such as 朝廷 (imperial court) or 宫廷 (royal palace/court)",noun,嘟,户,廷,电,掌,C
952,cai3,彩,7,"Color or variety of colors; also refers to applause, praise, or lottery/prize winnings.","Most commonly seen in words like 彩色 (colored), 精彩 (wonderful), and 彩票 (lottery ticket)",noun,彩,机,移,钻,运,A
953,xi1,悉,7,To know in detail or be fully informed about something; to be familiar with all aspects of a matter.,"Commonly seen in formal or literary contexts, such as 熟悉 (familiar with) and 悉知 (to know fully)",verb,列,悉,此,业,焦,B
954,zha1,扎,7,"To tie, bind, or fasten something together; to prick or pierce into something.",Common in words like 扎头发 (tie hair) or 扎针 (give an injection),verb,餐,扎,竖,寒,汽,B
955,tong3,捅,7,"To poke, stab, or thrust with a pointed object; to prod or jab something with force.","Often used for physical actions like poking a hole (捅破) or stabbing, and figuratively for causing trouble or exposing secrets (捅娄子 - stir up trouble)",verb,运,爬,捅,朗,至,C
956,pai2,排,7,To arrange or line up in a row; also means a row or line of things/people. Can also mean to rehearse (as in a play) or to exclude/discharge.,"Common in words like 排队 (line up), 排球 (volleyball), 排练 (rehearse)",verb/noun,入,贴,爵,排,哼,D
957,xuan2,旋,7,"To rotate, revolve, or spin around; to turn in a circular motion",Common in words like 旋转 (xuánzhuǎn - to rotate) and 螺旋 (luóxuán - spiral),verb,朗,旋,至,机,雾,B
958,yi4,易,7,"Easy, simple; also means to change or exchange. As an adjective, it describes something that is not difficult to do or understand.","Common in words like 容易 (easy), 简易 (simple), 交易 (transaction/trade), and 变易 (change)",adjective/verb,功,耸,易,释,般,C
959,zhu4,柱,7,"A pillar, column, or post used to support a structure. Can also refer to anything shaped like a column or used as a support.",Commonly seen in words like 柱子 (zhùzi - pillar) and 石柱 (shízhù - stone pillar),noun,咙,努,柱,际,叹,C
960,sen1,森,7,"Dense forest or woods; also means numerous, dense, or dark (like a thick forest). The character visually shows three trees (木) together to represent a forest.",Commonly seen in words like 森林 (sēnlín - forest) and 阴森 (yīnsēn - gloomy/eerie),noun/adjective,易,团,妙,森,啦,D
961,yong3,永,7,"Forever, eternal, or permanent. Expresses the idea of something lasting indefinitely or never ending.","Common in words like 永远 (forever), 永久 (permanent), and 永恒 (eternal)",adverb/adjective,易,悉,永,捅,观,C
962,qi4,泣,7,To weep or sob quietly; to cry silently with tears flowing down one's face.,More literary or formal than 哭 (kū); often appears in written Chinese and classical expressions,verb,耀,泣,森,灯,咕,B
963,pai4,派,7,"To send, dispatch, or assign someone to do something; also refers to a faction, school of thought, or style (as in '派别').","Common in contexts like 派人 (send someone), 派遣 (dispatch), or 流派 (school/style)",verb/noun,晨,鼓,派,腔,烁,C
964,liu2,流,7,"To flow or stream; refers to the movement of liquids, air, or people in a continuous manner.","Common in words like 流水 (flowing water), 流行 (popular/trending), and 交流 (exchange/communicate)",verb,震,迹,流,维,套,C
965,hua2,滑,7,Slippery or smooth in texture; to slide or glide across a surface,"Common in words like 滑冰 (ice skating), 光滑 (smooth), and 滑倒 (to slip and fall)",adjective/verb,观,滑,旅,凰,坩,B
966,deng1,灯,7,"A lamp, light, or lantern; any device that produces illumination.","Common in words like 电灯 (electric light), 红绿灯 (traffic light), and 台灯 (desk lamp)",noun,尬,旧,震,灯,螺,D
967,shuo4,烁,7,"To shine, sparkle, or glitter; describes bright, flickering light or something that gleams.",Commonly seen in literary expressions like 闪烁 (shǎnshuò - to twinkle) or 烁烁 (shuòshuò - sparkling),verb,烁,捡,值,久,苦,A
968,shao1,烧,7,"To burn, to cook with fire or heat; can also mean to have a fever (when referring to body temperature).",Common in cooking contexts like 红烧 (braised) and medical contexts like 发烧 (to have a fever),verb,即,烧,狂,奶,储,B
969,lie4,猎,7,To hunt or chase wild animals. Also used metaphorically for pursuing or seeking something actively.,"Common in words like 猎人 (hunter), 打猎 (to hunt), and 猎取 (to hunt for/seek)",verb,套,摩,幽,猎,螺,D
970,wang2,王,7,King or monarch; also an extremely common Chinese surname (Wang),"As a title means 'king' (国王), but most frequently encountered as a family name",noun/proper noun,钱,庞,王,桶,砰,C
971,ping2,瓶,7,A bottle or vase; a container typically made of glass or plastic with a narrow neck used for holding liquids.,"Commonly used as a measure word counter, as in 一瓶水 (a bottle of water) or 花瓶 (flower vase)",noun,化,调,联,瓶,握,D
972,pian1,篇,7,"A measure word (classifier) used for counting written works, articles, essays, and compositions.",Used in phrases like 一篇文章 (one article) or 三篇作文 (three essays),measure word,篇,乌,夺,某,凝,A
973,lei4,类,7,"Type, kind, or category; used to classify things into groups based on shared characteristics.","Common in words like 种类 (zhǒnglèi - type/kind), 人类 (rénlèi - humanity), and as a suffix meaning '-type' or '-kind'",noun/measure word,类,怨,夏,夕,竟,A
974,wei2,维,7,"To maintain, preserve, or keep something in a certain state; also means 'dimension' in technical contexts.","Common in words like 维持 (maintain), 维护 (safeguard), and 思维 (thinking/thought process)",verb/noun,枝,袜,拾,拽,维,E
975,yao4,耀,7,"To shine brightly, to dazzle, or to show off. Can refer to light radiating brilliantly or displaying something proudly.",Common in words like 荣耀 (glory/honor) and 闪耀 (to sparkle/shine),verb,瘦,递,耀,琦,猸,C
976,yu4,育,7,"To raise, nurture, or educate; to give birth to or cultivate growth and development.","Commonly seen in words like 教育 (education), 体育 (physical education/sports), and 育儿 (child-rearing)",verb,致,聪,育,茫,伟,C
977,qiang1,腔,7,"Tone, accent, or manner of speaking; also refers to a cavity or hollow space in the body.","Common in words like 口腔 (oral cavity), 腔调 (accent/tone), and 唱腔 (singing style)",noun,腔,锁,闻,化,遭,A
978,xi1,膝,7,"Knee, the joint in the middle of the leg where it bends.","Most commonly seen in the word 膝盖 (xī gài, knee) and phrases like 跪下 (kneel down)",noun,啷,膝,哐,储,伦,B
979,bi4,臂,7,"Arm, referring to the upper limb from shoulder to hand. Also used in compound words to describe arm-like extensions or branches.","Common in words like 手臂 (arm), 臂膀 (arm/shoulder), and 左右臂 (right-hand man)",noun,臂,尘,吞,孔,唇,A
980,cang2,藏,7,"To hide, conceal, or store something away from view. Can also mean to collect or hoard.","Common in words like 躲藏 (to hide), 收藏 (to collect), 隐藏 (to conceal)",verb,宫,忆,屏,藏,捋,D
981,guan1,观,7,"To look at, watch, or observe; to view or examine something carefully. Also means a view, perspective, or outlook on something.","Common in words like 参观 (visit/tour), 观看 (watch), 观点 (viewpoint), and 乐观 (optimistic)",verb/noun,温,扯,观,愁,搂,C
982,dan4,诞,7,Birth or to be born; often used in formal or literary contexts to refer to someone's birth or birthday.,"Most commonly seen in 诞生 (dànshēng - to be born/come into being) and 圣诞 (Shèngdàn - Christmas, literally 'holy birth')",verb/noun,族,杰,诞,梅,粉,C
983,po4,迫,7,"To force, compel, or press someone to do something; to be urgent or pressing.","Common in words like 迫切 (urgent), 压迫 (oppress), and 逼迫 (force/coerce)",verb,腰,迫,烤,猪,玻,B
984,zhui1,追,7,"To chase, pursue, or run after someone or something. Also commonly used to mean pursuing romantic interest in someone or catching up with something (like a TV show).","Used in phrases like 追人 (chase someone), 追剧 (binge-watch a series), 追求 (pursue/seek)",verb,绽,绕,遭,追,缩,D
985,shi4,适,7,"To suit, fit, or be appropriate for something; to be comfortable or suitable. Also means 'to go to' in classical Chinese.","Commonly seen in words like 适合 (suitable), 舒适 (comfortable), 适应 (adapt to)",verb/adjective,蟾,詹,适,丢,荒,C
986,ling2,铃,7,A bell or small ringing device that makes a tinkling sound when shaken or struck.,"Commonly found in compounds like 门铃 (doorbell), 铃声 (ringtone), and 风铃 (wind chime)",noun,调,附,凭,铃,锁,D
987,bi4,闭,7,"To close or shut something, such as a door, window, eyes, or mouth.","Common in words like 关闭 (to close), 闭嘴 (shut up), and 闭眼 (close eyes)",verb,闭,则,伞,哆,集,A
988,zhen4,震,7,"To shake, vibrate, or shock; refers to earthquakes or strong trembling movements that cause impact or surprise.","Commonly seen in words like 地震 (earthquake), 震动 (vibration), and 震惊 (shocked/astonished)",verb/noun,震,储,孤,判,嚷,A
989,mei2,霉,7,Mold or mildew; also refers to bad luck or misfortune in colloquial usage.,Common in words like 发霉 (to become moldy) and 倒霉 (to have bad luck),noun/adjective,嘲,霉,态,宴,叉,B
990,ju1,鞠,7,To bow deeply or bend over as a sign of respect; also refers to raising or nurturing (in literary contexts).,"Most commonly seen in the phrase 鞠躬 (jū gōng, to bow) and 鞠养 (jū yǎng, to raise/nurture)",verb,鞠,噼,慰,姿,拴,A
991,gu3,骨,7,Bone; the hard structural parts of the skeleton in humans and animals.,"Common in words like 骨头 (bone), 骨折 (fracture), and 骨气 (moral integrity/backbone)",noun,骨,怯,枚,映,审,A
992,gu3,鼓,7,"A drum (noun); to beat or strike a drum, or to encourage/inspire someone (verb)",Common in words like 打鼓 (play the drum) and 鼓励 (encourage),noun/verb,鼓,捎,灭,涂,悦,A
993,wan4,万,6,"The number ten thousand (10,000); a large numerical unit in the Chinese counting system","Essential for expressing large numbers, like 三万 (30,000) or 一万块钱 (10,000 yuan)",number,程,抚,构,盆,万,E
